x,t=9.00e+03s,t=2.16e+04s,t=8.28e+04s,t=1.09e+05s,t=1.72e+05s,t=2.44e+05s,t=3.60e+05s
6.709519038076152634e-04,4.785663860069492819e-79,-3.269197598150214429e-70,1.940924037382756412e-31,1.841041715618861657e-14,8.993574835212177734e+11,2.466492404800926720e+18,1.633599102198728960e+18
6.725450901803607705e-04,4.788141944905841045e-79,-3.183473648034671727e-70,1.913787920633171232e-31,1.812447500974045207e-14,8.869691941954577637e+11,2.436553751561465344e+18,1.614094357500238592e+18
6.741382765531062776e-04,4.788156056696775489e-79,-3.099859633070666921e-70,1.886770853429911895e-31,1.784082718335065411e-14,8.746301564982941895e+11,2.406614474485101568e+18,1.594589112223609600e+18
6.757314629258517847e-04,4.785748243891972589e-79,-3.018300122783269527e-70,1.859871326295213250e-31,1.755943819340945836e-14,8.623396845345024414e+11,2.376674582047689216e+18,1.575083372546005248e+18
6.773246492985971834e-04,4.780960109557048295e-79,-2.938741048993104463e-70,1.833087830041985432e-31,1.728027282504272208e-14,8.500970951344372559e+11,2.346734082722743296e+18,1.555577144644966656e+18
6.789178356713426905e-04,4.773832818366111677e-79,-2.861129669964484667e-70,1.806418855805949569e-31,1.700329612795537816e-14,8.379017078159205322e+11,2.316792984982107648e+18,1.536070434698689280e+18
6.805110220440881976e-04,4.764407103540479693e-79,-2.785414535433187301e-70,1.779862895076271922e-31,1.672847341230564205e-14,8.257528447460051270e+11,2.286851297296146176e+18,1.516563248885132800e+18
6.821042084168337048e-04,4.752723273734325573e-79,-2.711545452490496893e-70,1.753418439724740891e-31,1.645577024460816995e-14,8.136498307026120605e+11,2.256909028133907712e+18,1.497055593382294784e+18
6.836973947895792119e-04,4.738821219868097374e-79,-2.639473452301050492e-70,1.727083982033514910e-31,1.618515244366680878e-14,8.015919930367792969e+11,2.226966185963216128e+18,1.477547474368954368e+18
6.852905811623247190e-04,4.722740421910514494e-79,-2.569150757632345853e-70,1.700858014721455478e-31,1.591658607653597220e-14,7.895786616347653809e+11,2.197022779249508608e+18,1.458038898023986176e+18
6.868837675350701177e-04,4.704519955609993700e-79,-2.500530751174390050e-70,1.674739030969097195e-31,1.565003745451023596e-14,7.776091688803835449e+11,2.167078816458013696e+18,1.438529870526705920e+18
6.884769539078156248e-04,4.684198499176216570e-79,-2.433567944628470735e-70,1.648725524442239070e-31,1.538547312914171040e-14,7.656828496175268555e+11,2.137134306053030656e+18,1.419020398056553728e+18
6.900701402805611319e-04,4.661814339912777388e-79,-2.368217948544615516e-70,1.622815989314245519e-31,1.512285988828495387e-14,7.537990411128900146e+11,2.107189256495937024e+18,1.399510486793269248e+18
