t(s),solute flux surface 1 (H m-2 s-1),Total T surface 1 (K),Total retention volume 1 (H m-2),Total solute volume 1 (H m-2),Total 1 volume 1 (H m-2),Recycling coefficient at surface 1 ()
0.28467214608701563,-3.1371716857024725e+22,402.2108977161799,1.7801862453249575e+19,2.7946534886891587e+17,1.7522397104380662e+19,0.9963138980789272
0.29174377918338573,-3.1372102344702566e+22,402.5525944393116,1.8020723841828827e+19,2.815476006792203e+17,1.77391762411496e+19,0.9963261405307102
0.2981725365437222,-3.137244617625719e+22,402.85850495148577,1.8217478329709974e+19,2.834763725461417e+17,1.793400195716383e+19,0.9963370600528401
0.3052441696400923,-3.1372806122485926e+22,403.18944070869304,1.8431362857300724e+19,2.854816477972091e+17,1.814588120950351e+19,0.9963484913503965
0.3116729270004288,-3.1373127012986047e+22,403.4857974886504,1.8623740408615174e+19,2.8733415197042778e+17,1.833640625664475e+19,0.9963586823025362
0.3187445600967989,-3.1373463947836786e+22,403.8064850423303,1.883297303405299e+19,2.892682601313233e+17,1.8543704773921657e+19,0.9963693827967447
0.32652335650280606,-3.1373814376780913e+22,404.1529882449881,1.9060403005001966e+19,2.912808967830734e+17,1.8769122108218896e+19,0.9963805118410656
0.33359498959917616,-3.1374129506954217e+22,404.46294136626847,1.926492903776759e+19,2.931794538657374e+17,1.8971749583901843e+19,0.9963905198547423
0.3413737860051833,-3.1374462033346123e+22,404.79792758972746,1.948732101714542e+19,2.9517634325587846e+17,1.9192144673889563e+19,0.9964010803435814
0.3484454191015534,-3.1374759627990917e+22,405.0976388734834,1.9687391062445076e+19,2.97030755232702e+17,1.939036030721238e+19,0.9964105314578432
0.35622421550756056,-3.1375072834715994e+22,405.42162036034756,1.9905031739421254e+19,2.9897279778607264e+17,1.960605894163517e+19,0.9964204783859819
0.3647808915541684,-3.137539859174219e+22,405.77126951184346,2.0141649084966875e+19,3.009915168485188e+17,1.9840657568118346e+19,0.9964308238909498
0.3725596879601755,-3.1375691991485925e+22,406.0837089600826,2.035447346441662e+19,3.029034710118639e+17,2.005156999340476e+19,0.9964401417820843
0.38111636400678334,-3.1376001719524517e+22,406.42095916307323,2.0585930037606662e+19,3.0491555608445e+17,2.0281014481522213e+19,0.9964499782328874
0.3888951604127905,-3.1376278948373447e+22,406.7223398983827,2.0794188595978215e+19,3.0678531470254266e+17,2.048740328127565e+19,0.9964587825631189
0.3974518364593983,-3.1376571029653192e+22,407.04769733288924,2.102077376364719e+19,3.0874865505270144e+17,2.071202510859448e+19,0.9964680585820154
0.40523063286540545,-3.1376831462992305e+22,407.33848213261234,2.1224734420449526e+19,3.1055886834569056e+17,2.0914175552103834e+19,0.996476329514603
0.41378730891201326,-3.1377106177996412e+22,407.65243396756233,2.144674049404994e+19,3.124644174709573e+17,2.113427607657901e+19,0.9964850540092759
0.4231996525632819,-3.1377391985052137e+22,407.99079148945714,2.1688257058905727e+19,3.1444272263838746e+17,2.1373814336267334e+19,0.9964941307691831
0.4317563286098897,-3.1377649896851165e+22,408.29272833818845,2.1905610703177343e+19,3.1632456751475334e+17,2.1589286135662596e+19,0.9965023216218235
0.44116867226115836,-3.1377922723004346e+22,408.6181653844655,2.2142131776564965e+19,3.1831062711117446e+17,2.182382114945378e+19,0.9965109861297117
0.44972534830776617,-3.1378167118618356e+22,408.90859308210526,2.235505971863554e+19,3.2015727564634925e+17,2.203490244298919e+19,0.996518747730646
0.4591376919590348,-3.137842538090048e+22,409.2216464379646,2.2586849599835685e+19,3.2210812080321574e+17,2.226474147903248e+19,0.9965269497140504
0.4676943680056426,-3.1378655464052142e+22,409.5010380777819,2.2795598925262967e+19,3.2389999892974765e+17,2.247169892633323e+19,0.9965342567748261
0.47710671165691126,-3.1378899323716616e+22,409.80221156690834,2.3022927890612457e+19,3.258077884701035e+17,2.2697120102142353e+19,0.9965420013548886
0.4856633877035191,-3.137911617716894e+22,410.07101239773334,2.322773504030248e+19,3.2754911416661414e+17,2.290018592613587e+19,0.9965488882622702
0.4950757313547877,-3.137934680926519e+22,410.3607814659039,2.345085211482637e+19,3.2941696719777114e+17,2.312143514762861e+19,0.9965562127566193
0.5036324074013956,-3.137955167622018e+22,410.6194125906453,2.3651932837485634e+19,3.311132426171866e+17,2.3320819594868457e+19,0.9965627189926484
0.5130447510526642,-3.1379770154503924e+22,410.8982278845889,2.3871065238200513e+19,3.3294371918570656e+17,2.35381215190148e+19,0.9965696575019916
0.521601427099272,-3.137996426047757e+22,411.1470891311925,2.4068615608407736e+19,3.3460234644833683e+17,2.37340132619594e+19,0.9965758219870315
0.5310137707505407,-3.13801713236133e+22,411.41537922720784,2.4283972064782447e+19,3.3639300572181523e+17,2.3947579059060634e+19,0.9965823979701328
0.5395704467971485,-3.138035603278482e+22,411.6548513573159,2.4478170163758256e+19,3.3802764728667795e+17,2.4140142516471595e+19,0.9965882640282617
